category,city,customer_id,order_date,order_id,price,product_name,quantity,status,total_amount,year,month,day
Electronics,HCM,CUST0124,2024-07-24,ORD007500,434.01,Product_50,3,pending,1302.03,2024,7,24
Food,Hanoi,CUST0677,2024-08-22,ORD007501,929.57,Product_66,9,pending,8366.130000000001,2024,8,22
Electronics,HCM,CUST0565,2024-07-01,ORD007502,319.97,Product_17,7,completed,2239.79,2024,7,1
Books,HCM,CUST0757,2024-12-08,ORD007503,621.07,Product_62,7,pending,4347.490000000001,2024,12,8
Toys,HCM,CUST0544,2024-03-08,ORD007504,806.28,Product_82,4,pending,3225.12,2024,3,8
Books,Cantho,CUST0058,2024-05-10,ORD007505,880.83,Product_77,9,completed,7927.47,2024,5,10
Books,HCM,CUST0430,2024-03-02,ORD007506,39.22,Product_15,7,pending,274.53999999999996,2024,3,2
Books,HCM,CUST0320,2024-03-30,ORD007507,244.4,Product_50,7,completed,1710.8,2024,3,30
Clothing,HCM,CUST0532,2024-06-18,ORD007508,708.81,Product_97,9,cancelled,6379.289999999999,2024,6,18
Food,Haiphong,CUST0495,2024-06-07,ORD007509,383.25,Product_75,9,completed,3449.25,2024,6,7
Books,Hanoi,CUST0001,2024-12-09,ORD007510,688.42,Product_7,1,pending,688.42,2024,12,9
Clothing,HCM,CUST0908,2024-08-05,ORD007511,750.55,Product_46,9,pending,6754.95,2024,8,5
Books,HCM,CUST0716,2024-06-05,ORD007512,970.42,Product_80,8,completed,7763.36,2024,6,5
Electronics,Cantho,CUST0821,2024-05-04,ORD007513,331.79,Product_47,9,cancelled,2986.11,2024,5,4
Electronics,Cantho,CUST0842,2024-05-08,ORD007514,563.81,Product_20,8,cancelled,4510.48,2024,5,8
Toys,Cantho,CUST0793,2024-07-06,ORD007515,749.66,Product_59,3,cancelled,2248.98,2024,7,6
Toys,Hanoi,CUST0821,2024-09-07,ORD007516,339.23,Product_97,3,cancelled,1017.69,2024,9,7
Food,HCM,CUST0150,2024-01-08,ORD007517,693.22,Product_96,10,pending,6932.200000000001,2024,1,8
Food,Cantho,CUST0860,2024-11-05,ORD007518,131.99,Product_32,7,cancelled,923.9300000000001,2024,11,5
Toys,Danang,CUST0030,2024-02-04,ORD007519,471.37,Product_97,7,cancelled,3299.59,2024,2,4
Food,HCM,CUST0459,2024-10-28,ORD007520,677.43,Product_41,7,pending,4742.009999999999,2024,10,28
Books,Haiphong,CUST0175,2024-11-06,ORD007521,485.5,Product_52,5,cancelled,2427.5,2024,11,6
Clothing,HCM,CUST0167,2024-03-23,ORD007522,671.74,Product_42,3,cancelled,2015.22,2024,3,23
Electronics,Danang,CUST0302,2024-01-06,ORD007523,813.36,Product_8,4,cancelled,3253.44,2024,1,6
Books,Hanoi,CUST0600,2024-06-03,ORD007524,687.92,Product_6,8,completed,5503.36,2024,6,3
Food,HCM,CUST0376,2024-02-22,ORD007525,817.39,Product_57,1,cancelled,817.39,2024,2,22
Food,Hanoi,CUST0232,2024-05-30,ORD007526,707.27,Product_59,1,pending,707.27,2024,5,30
Toys,Cantho,CUST0143,2024-05-11,ORD007527,55.38,Product_60,9,completed,498.42,2024,5,11
Electronics,Haiphong,CUST0386,2024-05-27,ORD007528,724.89,Product_98,8,pending,5799.12,2024,5,27
Books,Danang,CUST0419,2024-03-06,ORD007529,945.19,Product_59,9,pending,8506.710000000001,2024,3,6
Food,HCM,CUST0301,2024-06-02,ORD007530,119.03,Product_30,4,pending,476.12,2024,6,2
Electronics,HCM,CUST0038,2024-04-26,ORD007531,893.51,Product_12,6,pending,5361.0599999999995,2024,4,26
Food,HCM,CUST0151,2024-01-11,ORD007532,711.35,Product_95,2,cancelled,1422.7,2024,1,11
Food,Cantho,CUST0015,2024-10-30,ORD007533,430.18,Product_24,6,completed,2581.08,2024,10,30
Clothing,Danang,CUST0692,2024-06-10,ORD007534,336.33,Product_44,5,completed,1681.6499999999999,2024,6,10
Toys,Haiphong,CUST0858,2024-03-19,ORD007535,862.59,Product_22,10,cancelled,8625.9,2024,3,19
Food,Hanoi,CUST0314,2024-09-30,ORD007536,397.84,Product_46,5,completed,1989.1999999999998,2024,9,30
Electronics,Haiphong,CUST0189,2024-01-01,ORD007537,475.33,Product_30,3,cancelled,1425.99,2024,1,1
Food,Cantho,CUST0960,2024-02-22,ORD007538,630.31,Product_67,2,cancelled,1260.62,2024,2,22
Books,Danang,CUST0614,2024-05-05,ORD007539,625.5,Product_33,4,completed,2502.0,2024,5,5
Books,Cantho,CUST0839,2024-12-06,ORD007540,13.74,Product_47,4,pending,54.96,2024,12,6
Toys,Cantho,CUST0403,2024-10-21,ORD007541,98.1,Product_15,6,completed,588.5999999999999,2024,10,21
Books,Hanoi,CUST0699,2024-08-25,ORD007542,393.73,Product_82,1,completed,393.73,2024,8,25
Food,Danang,CUST0106,2024-11-19,ORD007543,153.26,Product_90,9,completed,1379.34,2024,11,19
Books,HCM,CUST0245,2024-03-23,ORD007544,775.62,Product_80,9,cancelled,6980.58,2024,3,23
Clothing,Cantho,CUST0894,2024-01-03,ORD007545,289.55,Product_75,1,pending,289.55,2024,1,3
Clothing,Cantho,CUST0586,2024-07-22,ORD007546,766.38,Product_70,4,pending,3065.52,2024,7,22
Clothing,Cantho,CUST0143,2024-07-18,ORD007547,830.03,Product_75,1,cancelled,830.03,2024,7,18
Food,HCM,CUST0584,2024-03-23,ORD007548,854.5,Product_81,5,cancelled,4272.5,2024,3,23
Books,Cantho,CUST0359,2024-03-12,ORD007549,804.16,Product_43,6,pending,4824.96,2024,3,12
Electronics,Haiphong,CUST0855,2024-07-17,ORD007550,835.04,Product_24,6,cancelled,5010.24,2024,7,17
Books,HCM,CUST0368,2024-09-17,ORD007551,576.82,Product_51,2,pending,1153.64,2024,9,17
Books,Haiphong,CUST0218,2024-10-11,ORD007552,626.53,Product_84,7,completed,4385.71,2024,10,11
Books,Hanoi,CUST0614,2024-09-22,ORD007553,880.08,Product_89,5,cancelled,4400.400000000001,2024,9,22
Food,Cantho,CUST0811,2024-10-22,ORD007554,51.92,Product_47,3,cancelled,155.76,2024,10,22
Books,Danang,CUST0650,2024-11-09,ORD007555,278.88,Product_98,4,cancelled,1115.52,2024,11,9
Food,Hanoi,CUST0552,2024-01-28,ORD007556,600.22,Product_34,4,completed,2400.88,2024,1,28
Toys,Cantho,CUST0636,2024-06-24,ORD007557,169.69,Product_22,4,cancelled,678.76,2024,6,24
Books,HCM,CUST0851,2024-12-24,ORD007558,782.82,Product_66,1,cancelled,782.82,2024,12,24
Food,Haiphong,CUST0940,2024-03-17,ORD007559,949.41,Product_99,6,cancelled,5696.46,2024,3,17
Books,Hanoi,CUST0765,2024-09-13,ORD007560,875.51,Product_60,7,cancelled,6128.57,2024,9,13
Food,Hanoi,CUST0447,2024-11-24,ORD007561,220.28,Product_31,4,completed,881.12,2024,11,24
Clothing,Haiphong,CUST0436,2024-07-12,ORD007562,169.4,Product_19,2,completed,338.8,2024,7,12
Clothing,Danang,CUST0983,2024-11-08,ORD007563,891.65,Product_26,3,cancelled,2674.95,2024,11,8
Clothing,Cantho,CUST0514,2024-02-14,ORD007564,132.65,Product_90,5,pending,663.25,2024,2,14
Books,Cantho,CUST0144,2024-02-11,ORD007565,723.65,Product_46,9,cancelled,6512.849999999999,2024,2,11
Clothing,HCM,CUST0584,2024-10-03,ORD007566,644.06,Product_35,7,pending,4508.42,2024,10,3
Food,Danang,CUST0838,2024-01-30,ORD007567,66.3,Product_28,7,pending,464.09999999999997,2024,1,30
Food,Haiphong,CUST0509,2024-07-08,ORD007568,139.59,Product_61,2,cancelled,279.18,2024,7,8
Books,Haiphong,CUST0889,2024-11-28,ORD007569,215.86,Product_91,5,cancelled,1079.3000000000002,2024,11,28
Clothing,Hanoi,CUST0015,2024-10-04,ORD007570,395.46,Product_85,8,pending,3163.68,2024,10,4
Toys,Danang,CUST0282,2024-06-18,ORD007571,429.17,Product_45,2,cancelled,858.34,2024,6,18
Clothing,HCM,CUST0308,2024-06-24,ORD007572,260.37,Product_63,4,completed,1041.48,2024,6,24
Electronics,Cantho,CUST0554,2024-01-08,ORD007573,822.8,Product_16,7,pending,5759.599999999999,2024,1,8
Books,Haiphong,CUST0783,2024-03-16,ORD007574,54.09,Product_65,6,completed,324.54,2024,3,16
Toys,HCM,CUST0392,2024-05-29,ORD007575,629.97,Product_89,2,pending,1259.94,2024,5,29
Food,Cantho,CUST0971,2024-09-28,ORD007576,893.31,Product_80,8,cancelled,7146.48,2024,9,28
Electronics,Danang,CUST0775,2024-08-23,ORD007577,986.96,Product_66,7,cancelled,6908.72,2024,8,23
Food,Haiphong,CUST0456,2024-05-28,ORD007578,402.09,Product_87,2,cancelled,804.18,2024,5,28
Books,HCM,CUST0062,2024-02-20,ORD007579,292.02,Product_15,1,pending,292.02,2024,2,20
Toys,Cantho,CUST0214,2024-01-27,ORD007580,480.5,Product_13,8,completed,3844.0,2024,1,27
Food,HCM,CUST0251,2024-08-29,ORD007581,167.77,Product_31,10,pending,1677.7,2024,8,29
Toys,HCM,CUST0585,2024-12-29,ORD007582,967.6,Product_43,1,cancelled,967.6,2024,12,29
Books,HCM,CUST0309,2024-07-09,ORD007583,636.61,Product_23,7,completed,4456.27,2024,7,9
Toys,Haiphong,CUST0542,2024-07-06,ORD007584,244.66,Product_26,5,completed,1223.3,2024,7,6
Electronics,Haiphong,CUST0289,2024-08-03,ORD007585,221.43,Product_65,9,pending,1992.8700000000001,2024,8,3
Electronics,Danang,CUST0757,2024-12-01,ORD007586,757.42,Product_42,10,cancelled,7574.2,2024,12,1
Food,Danang,CUST0421,2024-03-18,ORD007587,681.06,Product_1,7,cancelled,4767.42,2024,3,18
Clothing,Haiphong,CUST0601,2024-07-16,ORD007588,902.34,Product_90,8,pending,7218.72,2024,7,16
Food,HCM,CUST0353,2024-01-15,ORD007589,97.53,Product_63,2,cancelled,195.06,2024,1,15
Books,Cantho,CUST0274,2024-02-16,ORD007590,205.12,Product_55,3,completed,615.36,2024,2,16
Food,Danang,CUST0066,2024-12-05,ORD007591,278.85,Product_57,8,pending,2230.8,2024,12,5
Food,Hanoi,CUST0219,2024-06-04,ORD007592,375.78,Product_52,6,pending,2254.68,2024,6,4
Toys,Danang,CUST0142,2024-08-11,ORD007593,581.51,Product_1,4,completed,2326.04,2024,8,11
Electronics,Danang,CUST0059,2024-11-14,ORD007594,923.95,Product_17,8,cancelled,7391.6,2024,11,14
Food,Cantho,CUST0585,2024-01-04,ORD007595,194.77,Product_20,8,cancelled,1558.16,2024,1,4
Clothing,HCM,CUST0845,2024-10-24,ORD007596,423.68,Product_89,1,completed,423.68,2024,10,24
Electronics,Haiphong,CUST0885,2024-07-23,ORD007597,515.32,Product_91,3,pending,1545.96,2024,7,23
Books,Cantho,CUST0218,2024-04-07,ORD007598,833.09,Product_42,8,cancelled,6664.72,2024,4,7
Toys,Haiphong,CUST0197,2024-01-17,ORD007599,391.87,Product_50,6,completed,2351.2200000000003,2024,1,17
Food,HCM,CUST0289,2024-07-12,ORD007600,454.61,Product_93,1,cancelled,454.61,2024,7,12
Toys,Danang,CUST0332,2024-06-02,ORD007601,935.75,Product_98,3,cancelled,2807.25,2024,6,2
Clothing,HCM,CUST0367,2024-05-14,ORD007602,790.8,Product_66,1,cancelled,790.8,2024,5,14
Books,HCM,CUST0655,2024-03-26,ORD007603,340.94,Product_57,2,cancelled,681.88,2024,3,26
Electronics,Haiphong,CUST0564,2024-03-08,ORD007604,733.3,Product_83,6,cancelled,4399.799999999999,2024,3,8
