category,city,customer_id,order_date,order_id,price,product_name,quantity,status,total_amount,year,month,day
Toys,Danang,CUST0214,2024-06-26,ORD006875,831.52,Product_38,2,pending,1663.04,2024,6,26
Toys,Danang,CUST0115,2024-02-22,ORD006876,924.53,Product_67,10,cancelled,9245.3,2024,2,22
Electronics,Danang,CUST0435,2024-03-28,ORD006877,781.42,Product_5,5,completed,3907.1,2024,3,28
Clothing,HCM,CUST0395,2024-11-12,ORD006878,73.71,Product_60,2,pending,147.42,2024,11,12
Clothing,Haiphong,CUST0653,2024-02-17,ORD006879,221.51,Product_9,2,completed,443.02,2024,2,17
Electronics,Cantho,CUST0460,2024-07-24,ORD006880,156.34,Product_65,2,cancelled,312.68,2024,7,24
Books,Hanoi,CUST0964,2024-01-04,ORD006881,644.92,Product_91,10,completed,6449.2,2024,1,4
Toys,HCM,CUST0942,2024-01-12,ORD006882,638.98,Product_57,10,pending,6389.8,2024,1,12
Books,Cantho,CUST0603,2024-02-22,ORD006883,917.85,Product_29,10,completed,9178.5,2024,2,22
Food,Hanoi,CUST0840,2024-03-03,ORD006884,712.43,Product_43,3,pending,2137.29,2024,3,3
Electronics,Cantho,CUST0822,2024-09-06,ORD006885,393.11,Product_84,4,completed,1572.44,2024,9,6
Toys,Hanoi,CUST0708,2024-09-28,ORD006886,750.01,Product_10,3,pending,2250.0299999999997,2024,9,28
Toys,Danang,CUST0145,2024-10-08,ORD006887,37.63,Product_55,9,pending,338.67,2024,10,8
Clothing,Cantho,CUST0270,2024-01-26,ORD006888,354.61,Product_99,6,cancelled,2127.66,2024,1,26
Electronics,Hanoi,CUST0477,2024-11-21,ORD006889,497.93,Product_87,3,cancelled,1493.79,2024,11,21
Electronics,Haiphong,CUST0178,2024-12-27,ORD006890,174.76,Product_36,5,cancelled,873.8,2024,12,27
Toys,Haiphong,CUST0872,2024-06-07,ORD006891,182.98,Product_78,10,completed,1829.8,2024,6,7
Books,HCM,CUST0925,2024-01-18,ORD006892,741.77,Product_27,7,cancelled,5192.389999999999,2024,1,18
Food,Hanoi,CUST0898,2024-02-11,ORD006893,439.19,Product_76,4,pending,1756.76,2024,2,11
Toys,Hanoi,CUST0925,2024-01-15,ORD006894,874.3,Product_43,2,completed,1748.6,2024,1,15
Food,Cantho,CUST0433,2024-01-18,ORD006895,489.9,Product_63,10,cancelled,4899.0,2024,1,18
Toys,Hanoi,CUST0006,2024-04-06,ORD006896,681.0,Product_93,9,cancelled,6129.0,2024,4,6
Food,Hanoi,CUST0001,2024-02-24,ORD006897,893.87,Product_86,2,completed,1787.74,2024,2,24
Books,Haiphong,CUST0143,2024-04-19,ORD006898,582.16,Product_34,9,completed,5239.44,2024,4,19
Books,Hanoi,CUST0982,2024-10-15,ORD006899,546.95,Product_98,3,pending,1640.8500000000001,2024,10,15
Clothing,Hanoi,CUST0269,2024-12-27,ORD006900,63.81,Product_43,5,pending,319.05,2024,12,27
Clothing,Danang,CUST0982,2024-05-16,ORD006901,160.62,Product_98,2,completed,321.24,2024,5,16
Toys,Haiphong,CUST0038,2024-03-30,ORD006902,326.62,Product_86,7,completed,2286.34,2024,3,30
Toys,Hanoi,CUST0443,2024-08-07,ORD006903,745.86,Product_74,3,pending,2237.58,2024,8,7
Electronics,Haiphong,CUST0649,2024-04-18,ORD006904,990.9,Product_22,7,pending,6936.3,2024,4,18
Food,Cantho,CUST0007,2024-03-08,ORD006905,336.86,Product_72,3,cancelled,1010.58,2024,3,8
Food,Haiphong,CUST0951,2024-07-29,ORD006906,783.8,Product_21,3,completed,2351.3999999999996,2024,7,29
Food,Cantho,CUST0922,2024-10-14,ORD006907,688.5,Product_54,9,pending,6196.5,2024,10,14
Toys,Haiphong,CUST0673,2024-01-22,ORD006908,214.66,Product_52,7,pending,1502.62,2024,1,22
Electronics,Haiphong,CUST0087,2024-12-05,ORD006909,18.14,Product_25,9,completed,163.26,2024,12,5
Food,Haiphong,CUST0618,2024-03-31,ORD006910,78.44,Product_41,6,completed,470.64,2024,3,31
Electronics,Cantho,CUST0985,2024-10-02,ORD006911,390.74,Product_27,2,pending,781.48,2024,10,2
Electronics,Cantho,CUST0808,2024-09-05,ORD006912,203.16,Product_58,2,completed,406.32,2024,9,5
Toys,Cantho,CUST0431,2024-03-10,ORD006913,775.57,Product_8,5,pending,3877.8500000000004,2024,3,10
Food,Danang,CUST0745,2024-09-25,ORD006914,433.96,Product_14,9,pending,3905.64,2024,9,25
