category,city,customer_id,order_date,order_id,price,product_name,quantity,status,total_amount,year,month,day
Clothing,Cantho,CUST0326,2024-03-04,ORD005000,779.23,Product_5,9,cancelled,7013.07,2024,3,4
Toys,HCM,CUST0368,2024-07-17,ORD005001,995.89,Product_36,8,pending,7967.12,2024,7,17
Books,Hanoi,CUST0287,2024-03-19,ORD005002,594.78,Product_17,9,cancelled,5353.0199999999995,2024,3,19
Toys,HCM,CUST0251,2024-03-01,ORD005003,813.78,Product_70,1,cancelled,813.78,2024,3,1
Food,Haiphong,CUST0705,2024-10-31,ORD005004,812.49,Product_41,4,cancelled,3249.96,2024,10,31
Clothing,HCM,CUST0795,2024-08-20,ORD005005,388.0,Product_8,6,completed,2328.0,2024,8,20
Clothing,Hanoi,CUST0228,2024-11-24,ORD005006,229.8,Product_18,8,completed,1838.4,2024,11,24
Food,Haiphong,CUST0985,2024-06-07,ORD005007,17.46,Product_8,3,pending,52.38,2024,6,7
Food,Hanoi,CUST0784,2024-11-13,ORD005008,543.88,Product_36,2,completed,1087.76,2024,11,13
Food,Haiphong,CUST0303,2024-03-16,ORD005009,801.35,Product_81,7,pending,5609.45,2024,3,16
Food,Danang,CUST0163,2024-05-02,ORD005010,254.71,Product_53,5,cancelled,1273.55,2024,5,2
Toys,Hanoi,CUST0220,2024-04-27,ORD005011,951.8,Product_67,9,completed,8566.199999999999,2024,4,27
Clothing,Danang,CUST0228,2024-04-15,ORD005012,380.0,Product_69,1,cancelled,380.0,2024,4,15
Books,Hanoi,CUST0815,2024-11-10,ORD005013,495.35,Product_38,5,cancelled,2476.75,2024,11,10
Food,HCM,CUST0129,2024-05-13,ORD005014,930.29,Product_66,5,pending,4651.45,2024,5,13
Books,Cantho,CUST0460,2024-09-07,ORD005015,829.21,Product_21,9,completed,7462.89,2024,9,7
Electronics,Cantho,CUST0982,2024-05-23,ORD005016,223.25,Product_55,6,completed,1339.5,2024,5,23
Clothing,HCM,CUST0038,2024-03-19,ORD005017,387.2,Product_12,7,completed,2710.4,2024,3,19
Clothing,Danang,CUST0412,2024-12-22,ORD005018,318.96,Product_64,10,cancelled,3189.6,2024,12,22
